Data
2.5;2;Stanlake to Holden, 2 runs;
2.4;?;Stanlake to Holden, no run;
2.3;1;Stanlake to Gubbins, 1 run;
2.2;1;Stanlake to Holden, 1 run;
2.1;?;Stanlake to Holden, no run;
1.6;?;Kane Richardson to Gubbins, no run;
1.5;1;Kane Richardson to Holden, 1 run;
1.4;2;Kane Richardson to Holden, 2 runs;
1.3;?;Kane Richardson to Holden, no run;
1.2;?;Kane Richardson to Holden, no run;
1.1;4;Kane Richardson to Holden, FOUR runs;
0.6;?;Stanlake to Gubbins, no run;
0.5;1;Stanlake to Holden, 1 run;
0.4;1;Stanlake to Gubbins, 1 run;
0.3;?;Stanlake to Gubbins, no run;
0.2;1;Stanlake to Holden, 1 run;
0.1;?;Stanlake to Holden, no run;

 Innings Start
Tour Match, Lord's, Jun 9 2018, Australia tour of England
283/6
182
Player of the match is 
