Data
Match State: Innings Break
57.2;W;O'Keefe to Fernando, OUT;Dilhara Fernando c Smith b O'Keefe 1 (7b 0x4 0x6) SR: 14.28;
93.2;1;Jayasuriya to O'Keefe, 1 run;
93.1;1;Jayasuriya to Nevill, 1 run;
92.6;?;Perera to O'Keefe, no run;
92.5;1;Perera to Nevill, 1 run;
92.4;?;Perera to Nevill, no run;
92.3;?;Perera to Nevill, no run;
92.2;?;Perera to Nevill, no run;
92.1;2;Perera to Nevill, 2 runs;
91.6;?;Jayasuriya to O'Keefe, no run;
91.5;?;Jayasuriya to O'Keefe, no run;
91.4;?;Jayasuriya to O'Keefe, no run;
91.3;1;Jayasuriya to Nevill, 1 run;
91.2;?;Jayasuriya to Nevill, no run;
91.1;1;Jayasuriya to O'Keefe, 1 run;
90.6;?;Fernando to Nevill, no run;
90.5;?;Fernando to Nevill, no run;
90.4;1;Fernando to O'Keefe, 1 run;
90.3;?;Fernando to O'Keefe, no run;
90.2;?;Fernando to O'Keefe, no run;
90.1;4;Fernando to O'Keefe, FOUR runs;
89.6;4;Gamage to Nevill, FOUR runs;
89.5;?;Gamage to Nevill, no run;
89.4;?;Gamage to Nevill, no run;
89.3;1;Gamage to O'Keefe, 1 run;
89.2;?;Gamage to O'Keefe, no run;
89.1;1;Gamage to Nevill, 1 run;
88.6;1;Fernando to Nevill, 1 run;
88.5;?;Fernando to Nevill, no run;
88.4;?;Fernando to Nevill, no run;
88.3;?;Fernando to Nevill, no run;
88.2;?;Fernando to Nevill, no run;
88.1;?;Fernando to Nevill, no run;
87.6;?;Gamage to O'Keefe, no run;
87.5;?;Gamage to O'Keefe, no run;
87.4;?;Gamage to O'Keefe, no run;
87.3;4;Gamage to O'Keefe, FOUR runs;
87.2;?;Gamage to O'Keefe, no run;
87.1;?;Gamage to O'Keefe, no run;
86.6;?;Fernando to Nevill, no run;
86.5;1;Fernando to O'Keefe, 1 run;
86.4;?;Fernando to O'Keefe, no run;
86.3;?;Fernando to O'Keefe, no run;
86.2;?;Fernando to O'Keefe, no run;
86.1;?;Fernando to O'Keefe, no run;
85.6;?;Gamage to Nevill, no run;
85.5;?;Gamage to Nevill, no run;
85.4;?;Gamage to Nevill, no run;
85.3;2;Gamage to Nevill, 2 runs;
85.2;?;Gamage to Nevill, no run;
85.1;?;Gamage to Nevill, no run;
84.6;?;Jayasuriya to O'Keefe, no run;
84.5;?;Jayasuriya to O'Keefe, no run;
84.4;?;Jayasuriya to O'Keefe, no run;
84.3;?;Jayasuriya to O'Keefe, no run;
84.2;?;Jayasuriya to O'Keefe, no run;
84.1;4;Jayasuriya to O'Keefe, FOUR runs;

Match State: Tea - Day 2
 Innings Start
Tour Match, Colombo (PSS), Jul 18 - 20 2016, Australia tour of Sri Lanka
229 &
474
Player of the match is 
