Data
19.2;1;Agar to Finch, 1 run;
19.1;1;Agar to Evans, 1 run;
18.6;?;Jhye Richardson to Finch, no run;
18.5;1;Jhye Richardson to Evans, 1 run;
18.4;1;Jhye Richardson to Finch, 1 run;
18.3;?;Jhye Richardson to Finch, no run;
18.2;?;Jhye Richardson to Finch, no run;
18.1;?;Jhye Richardson to Finch, no run;
17.6;?;Agar to Evans, no run;
17.5;?;Agar to Evans, no run;
17.4;1;Agar to Finch, 1 run;
17.3;4;Agar to Finch, FOUR runs;
17.2;?;Agar to Finch, no run;
17.1;?;Agar to Finch, no run;
16.6;?;Jhye Richardson to Evans, no run;
16.5;?;Jhye Richardson to Evans, no run;
16.4;4;Jhye Richardson to Evans, FOUR runs;
16.3;1;Jhye Richardson to Finch, 1 run;
16.2;?;Jhye Richardson to Finch, no run;
16.1;?;Jhye Richardson to Finch, no run;
15.6;?;Tye to Evans, no run;
15.5;1;Tye to Finch, 1 run;
15.4;1;Tye to Evans, 1 run;
15.3;?;Tye to Evans, no run;
15.2;?;Tye to Evans, no run;
15.1;1;Tye to Finch, 1 run;
14.6;?;Kane Richardson to Evans, no run;
14.5;1;Kane Richardson to Finch, 1 run;
14.4;1;Kane Richardson to Evans, 1 run;
14.3;W;Kane Richardson to Salt, OUT;Phil Salt b Richardson 62 (57m 49b 7x4 4x6) SR: 126.53;
14.2;?;Kane Richardson to Salt, no run;
14.1;?;Kane Richardson to Salt, no run;
13.6;4;Tye to Finch, FOUR runs;
13.6;1w;Tye to Finch, 1 wide;
13.5;?;Tye to Finch, no run;
13.4;?;Tye to Finch, no run;
13.3;?;Tye to Finch, no run;
13.2;?;Tye to Finch, no run;
13.1;?;Tye to Finch, no run;
12.6;?;Kane Richardson to Salt, no run;
12.5;1;Kane Richardson to Finch, 1 run;
12.4;?;Kane Richardson to Finch, no run;
12.3;?;Kane Richardson to Finch, no run;
12.2;6;Kane Richardson to Finch, SIX runs;
12.1;?;Kane Richardson to Finch, no run;
11.6;?;Tye to Salt, no run;
11.5;?;Tye to Salt, no run;
11.4;?;Tye to Salt, no run;
11.3;?;Tye to Salt, no run;
11.2;?;Tye to Salt, no run;
11.1;1;Tye to Finch, 1 run;
10.6;?;Kane Richardson to Salt, no run;
10.5;?;Kane Richardson to Salt, no run;
10.4;4;Kane Richardson to Salt, FOUR runs;
10.3;?;Kane Richardson to Salt, no run;
10.2;1;Kane Richardson to Finch, 1 run;
10.1;?;Kane Richardson to Finch, no run;
9.6;1;Agar to Finch, 1 run;
9.5;1;Agar to Salt, 1 run;
9.4;4;Agar to Salt, FOUR runs;
9.3;?;Agar to Salt, no run;
9.2;6;Agar to Salt, SIX runs;
9.1;6;Agar to Salt, SIX runs;
8.6;4;Kane Richardson to Finch, FOUR runs;
8.5;?;Kane Richardson to Finch, no run;
8.4;4;Kane Richardson to Finch, FOUR runs;
8.3;1;Kane Richardson to Salt, 1 run;
8.2;?;Kane Richardson to Salt, no run;
8.1;4;Kane Richardson to Salt, FOUR runs;
7.6;?;Agar to Finch, no run;
7.5;?;Agar to Finch, no run;
7.4;?;Agar to Finch, no run;
7.3;1;Agar to Salt, 1 run;
7.2;6;Agar to Salt, SIX runs;
7.1;1;Agar to Finch, 1 run;
6.6;6;Neser to Salt, SIX runs;
6.5;4;Neser to Salt, FOUR runs;
6.4;2;Neser to Salt, 2 runs;
6.3;?;Neser to Salt, no run;
6.2;?;Neser to Salt, no run;
6.1;?;Neser to Salt, no run;
5.6;1;Jhye Richardson to Salt, 1 run;
5.5;4;Jhye Richardson to Salt, FOUR runs;
5.4;?;Jhye Richardson to Salt, no run;
5.3;?;Jhye Richardson to Salt, no run;
5.2;?;Jhye Richardson to Salt, no run;
5.1;4;Jhye Richardson to Salt, FOUR runs;
4.6;?;Neser to Finch, no run;
4.5;4;Neser to Finch, FOUR runs;
4.4;1;Neser to Salt, 1 run;
4.3;?;Neser to Salt, no run;
4.2;4;Neser to Salt, FOUR runs;
4.1;?;Neser to Salt, no run;
3.6;3;Jhye Richardson to Salt, 3 runs;
3.5;1;Jhye Richardson to Finch, 1 run;
3.4;?;Jhye Richardson to Finch, no run;
3.3;?;Jhye Richardson to Finch, no run;
3.2;?;Jhye Richardson to Finch, no run;
3.1;?;Jhye Richardson to Finch, no run;
2.6;?;Neser to Salt, no run;
2.5;?;Neser to Salt, no run;
2.4;?;Neser to Salt, no run;
2.3;W;Neser to Wells, 1 run, OUT;Luke Wells run out (KW Richardson) 1 (10m 9b 0x4 0x6) SR: 11.11;
2.2;?;Neser to Wells, no run;
2.1;?;Neser to Wells, no run;
1.6;?;Jhye Richardson to Salt, no run;
1.5;?;Jhye Richardson to Salt, no run;
1.4;?;Jhye Richardson to Salt, no run;
1.3;?;Jhye Richardson to Salt, no run;
1.2;?;Jhye Richardson to Salt, no run;
1.1;?;Jhye Richardson to Salt, no run;
