Data
Match State: Tea - Day 1
39.5;?;Mulder to Bancroft, no run;
39.4;?;Mulder to Bancroft, no run;
39.3;?;Mulder to Bancroft, no run;
39.2;?;Mulder to Bancroft, no run;
39.1;?;Mulder to Bancroft, no run;
38.6;?;Hendricks to Marsh, no run;
38.5;W;Hendricks to Marsh, OUT;Shaun Marsh c de Bruyn b Hendricks 25 (79m 59b 2x4 0x6) SR: 42.37;
38.4;?;Hendricks to Marsh, no run;
38.3;?;Hendricks to Marsh, no run;
38.2;1;Hendricks to Bancroft, 1 run;
38.1;?;Hendricks to Bancroft, no run;
37.6;?;Siboto to Marsh, no run;
37.5;?;Siboto to Marsh, no run;
37.4;?;Siboto to Marsh, no run;
37.3;1;Siboto to Bancroft, 1 run;
37.2;?;Siboto to Bancroft, no run;
37.1;2;Siboto to Bancroft, 2 runs;
36.6;?;Hendricks to Marsh, no run;
36.5;?;Hendricks to Marsh, no run;
36.4;?;Hendricks to Marsh, no run;
36.3;?;Hendricks to Marsh, no run;
36.2;?;Hendricks to Marsh, no run;
36.1;?;Hendricks to Marsh, no run;
35.6;?;Siboto to Bancroft, no run;
35.5;?;Siboto to Bancroft, no run;
35.4;?;Siboto to Bancroft, no run;
35.3;?;Siboto to Bancroft, no run;
35.2;?;Siboto to Bancroft, no run;
35.1;1;Siboto to Marsh, 1 run;
34.6;?;Olivier to Bancroft, no run;
34.5;1lb;Olivier to Marsh, 1 leg bye;
34.4;4;Olivier to Marsh, FOUR runs;
34.3;4;Olivier to Marsh, FOUR runs;
34.2;?;Olivier to Marsh, no run;
34.1;?;Olivier to Marsh, no run;
33.6;?;Siboto to Bancroft, no run;
33.5;?;Siboto to Bancroft, no run;
33.4;?;Siboto to Bancroft, no run;
33.3;?;Siboto to Bancroft, no run;
33.2;?;Siboto to Bancroft, no run;
33.1;?;Siboto to Bancroft, no run;
32.6;?;Olivier to Marsh, no run;
32.5;?;Olivier to Marsh, no run;
32.4;?;Olivier to Marsh, no run;
32.3;?;Olivier to Marsh, no run;
32.2;?;Olivier to Marsh, no run;
32.1;?;Olivier to Marsh, no run;
31.6;?;Siboto to Bancroft, no run;
31.5;4;Siboto to Bancroft, FOUR runs;
31.4;?;Siboto to Bancroft, no run;
31.3;4;Siboto to Bancroft, FOUR runs;
31.2;?;Siboto to Bancroft, no run;
31.1;?;Siboto to Bancroft, no run;
30.6;?;Olivier to Marsh, no run;
30.5;?;Olivier to Marsh, no run;
30.4;?;Olivier to Marsh, no run;
30.3;?;Olivier to Marsh, no run;
30.2;?;Olivier to Marsh, no run;
30.1;4;Olivier to Marsh, 4 runs;
29.6;4;Siboto to Bancroft, FOUR runs;
29.5;?;Siboto to Bancroft, no run;
29.4;?;Siboto to Bancroft, no run;
29.3;?;Siboto to Bancroft, no run;
29.2;?;Siboto to Bancroft, no run;
29.1;?;Siboto to Bancroft, no run;
28.6;?;Olivier to Marsh, no run;
28.5;?;Olivier to Marsh, no run;
28.4;?;Olivier to Marsh, no run;
28.3;?;Olivier to Marsh, no run;
28.2;?;Olivier to Marsh, no run;
28.1;?;Olivier to Marsh, no run;
27.6;?;Siboto to Bancroft, no run;
27.5;4;Siboto to Bancroft, FOUR runs;
27.4;?;Siboto to Bancroft, no run;
27.3;?;Siboto to Bancroft, no run;
27.2;?;Siboto to Bancroft, no run;
27.1;1;Siboto to Marsh, 1 run;
26.6;?;Olivier to Bancroft, no run;
26.5;?;Olivier to Bancroft, no run;
26.4;?;Olivier to Bancroft, no run;
26.3;?;Olivier to Bancroft, no run;
26.2;1;Olivier to Marsh, 1 run;
26.1;?;Olivier to Marsh, no run;
26.1;1nb;Olivier to Marsh, (no ball);

Match State: Drinks
 Innings Start
Tour Match, Benoni, Feb 22 - 24 2018, Australia tour of South Africa
220 &
329 &
Player of the match is 
