Data
49.6;W;Topley to Cummins, OUT;Pat Cummins c Cook b Topley 2 (3m 3b 0x4 0x6) SR: 66.66;
11.1;2;Doherty to Ryan ten Doeschate, 2 runs;
10.6;?;Cummins to Bopara, no run;
10.5;1;Cummins to Ryan ten Doeschate, 1 run;
10.4;1;Cummins to Bopara, 1 run;
10.3;?;Cummins to Bopara, no run;
10.2;?;Cummins to Bopara, no run;
10.2;2nb;Cummins to Ryan ten Doeschate, (no ball) 1 run;
10.1;?;Cummins to Ryan ten Doeschate, no run;
9.6;?;Watson to Bopara, no run;
9.5;?;Watson to Bopara, no run;
9.4;?;Watson to Bopara, no run;
9.3;?;Watson to Bopara, no run;
9.2;1;Watson to Ryan ten Doeschate, 1 run;
9.1;?;Watson to Ryan ten Doeschate, no run;
8.6;?;Cummins to Bopara, no run;
8.5;?;Cummins to Bopara, no run;
8.4;?;Cummins to Bopara, no run;
8.3;4;Cummins to Bopara, FOUR runs;
8.3;1nb;Cummins to Bopara, (no ball);
8.2;?;Cummins to Bopara, no run;
8.1;4;Cummins to Bopara, FOUR runs;
7.6;3;Watson to Bopara, 3 runs;
7.5;?;Watson to Bopara, no run;
7.4;?;Watson to Bopara, no run;
7.3;1;Watson to Ryan ten Doeschate, 1 run;
7.2;?;Watson to Ryan ten Doeschate, no run;
7.1;?;Watson to Ryan ten Doeschate, no run;
6.6;?;Cummins to Bopara, no run;
6.5;?;Cummins to Bopara, no run;
6.4;1;Cummins to Ryan ten Doeschate, 1 run;
6.3;?;Cummins to Ryan ten Doeschate, no run;
6.2;W;Cummins to Westley, OUT;Tom Westley b Cummins 4 (17m 10b 1x4 0x6) SR: 40;
6.1;?;Cummins to Westley, no run;
5.6;?;McKay to Bopara, no run;
5.5;?;McKay to Bopara, no run;
5.4;4;McKay to Bopara, FOUR runs;
5.3;?;McKay to Bopara, no run;
5.2;?;McKay to Bopara, no run;
5.1;?;McKay to Bopara, no run;
4.6;?;Lee to Westley, no run;
4.5;?;Lee to Westley, no run;
4.4;?;Lee to Westley, no run;
4.3;?;Lee to Westley, no run;
4.2;?;Lee to Westley, no run;
4.1;?;Lee to Westley, no run;
