Data
A highly competitive score by Australia, but given the pitch and going by past records, South Africa will fancy chasing this one. At one stage, with Clarke and Haddin going strong, it seemed as though a score of well above 350 was in the offing, but the spinners, as they did in the previous game, pulled it back for South Africa, with van der Merwe and the surprise package Duminy taking five wickets between them to curtail Australia in the middle stages.
Ferguson proved an important wicket as he had brought the momentum back with the visitors with a fluent 41 and the openers had departed. Ponting got a start but never looked dominant; and Hussey, along with Hauritz, dealt some useful blows in the end to take his team past 300. South Africa, though, have the wherewithal to chase this down, but with the pitch getting a little slow, their task may not be all that easy. Join us in about 30 minutes for the run-chase.
15.4;1;Morkel to Haddin, 1 run full on middle and leg, almost yorker length, dug out wide of square leg;
15.3;1;Morkel to Clarke, 1 run short on middle and leg, paddled down behind square for a single;
15.2;?;Morkel to Clarke, no run short of a length outside off, makes room and cuts it hard towards Gibbs at short cover who does a superb job getting his body behind it to save a four;
15.1;1;Morkel to Haddin, 1 run short of a length outside off, guided down to third man for a single;
14.6;4;Morkel to Clarke, FOUR runs the punishment continues, just a fraction short, but a little too wide, Clarke reaches for it and square-drives it to bisect the gap between cover and point;
14.5;1;Morkel to Haddin, 1 run good length on middle, pushed back past the bowler for a single to long-on;
14.4;?;Morkel to Haddin, no run short outside off, looks to heave it over midwicket, is into the shot a little too early;
14.3;1;Morkel to Clarke, 1 run pushed off the back foot into the off side for a single;
14.2;4;Morkel to Clarke, FOUR runs atrocious fielding by his brother, turned away towards him at short fine, he bends low to field and lets it slip through his fingers to the fine-leg boundary, fifty up for Clarke;
14.1;1;Morkel to Haddin, 1 run starts with a rank log hop on middle, Boucher is standing up, pulled away wide of deep square leg for a single;
13.6;1lb;Morkel to Haddin, 1 leg bye short of a length on the off stump, walks across and tries to paddle it over short fine, fails to connect well, salvages a run;
13.5;?;Morkel to Haddin, no run fullish on the off stump, presents the full face to drive it into the infield on the off side;
13.4;?;Morkel to Haddin, no run missed out again, juicy outside leg stump, most batsmen would have clipped it fine but Haddin misses;
13.3;1;Morkel to Clarke, 1 run good length on the off, dropped short of cover for a quick single;
13.2;?;Morkel to Clarke, no run short and wide, that should have disappeared and Clarke is rightly upset for having missed out, makes room to cut and misses, probably bounced more than he had expected;
13.1;2lb;Morkel to Clarke, 2 leg byes landed on a good length outside off, gets way outside the line to turn it wide of mid-on, is struck on the pads, gets a couple of leg byes;
12.6;?;Kallis to Haddin, no run shortish on middle, punched off the back foot in the direction of extra cover;
12.5;1;Kallis to Clarke, 1 run slower one bowled short on leg stump, worked away behind square;
12.4;1;Kallis to Haddin, 1 run slightly short on middle, pushed off the back foot wide of the bowler for a single to long-on;
12.3;?;Kallis to Haddin, no run back of a length on the off, turned away to square leg;
12.2;6;Kallis to Haddin, SIX runs slower one bowled full on the off, picked it up early, spotted it well and just lofted it with ease over mid-on to bring up his half-century in style, excellent stuff;
12.1;4;Kallis to Haddin, FOUR runs it's raining fours here, short of a length outside off, Haddin makes room to cut that past point, gets a thick edge wide of a diving Boucher to beat third man;
11.6;?;Morkel to Clarke, no run slightly short on the off, tries to punch it through cover, gets a thick inside edge in the direction of mid-on;
11.5;4;Morkel to Clarke, FOUR runs classy, full and wide but Clarke has Morkel flummoxed as he shuffles outside off and clips it away wide of short fine for a boundary;
11.4;?;Morkel to Clarke, no run good length on the off stump, closes the face to work it away to square leg;
11.3;1;Morkel to Haddin, 1 run short of a length on middle, gets back and pushes it in the direction of mid-on for a single;
11.2;?;Morkel to Haddin, no run short again, pushed wide of cover off the back foot;
11.1;?;Morkel to Haddin, no run short of a length outside, backed away to go for a powerful cut, missed it;
